"interactorB.id"	"interactorB.approvedSymbol"	"score"	"interactionEvidenceEntries"	"gene"	"biologicalRole"
ENSG00000168036	CTNNB1	0.89	15	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000129514	FOXA1	0.71	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000140396	NCOA2	0.69	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000157554	ERG	0.69	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000141867	BRD4	0.68	 6	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000118058	KMT2A	0.67	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000171988	JMJD1C	0.64	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000005339	CREBBP	0.63	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000204209	DAXX	0.63	 5	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000198646	NCOA6	0.62	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000167548	KMT2D	0.60	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000170365	SMAD1	0.60	 6	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000116288	PARK7	0.60	 5	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000116288	PARK7	0.60	 1	"AR"	"A:cofactor, B:cofactor"
ENSG00000116030	SUMO1	0.60	 7	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000142515	KLK3	0.60	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000109685	NSD2	0.60	 5	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000129691	ASH2L	0.60	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000136504	KAT7	0.59	 5	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000175215	CTDSP2	0.58	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000127870	RNF6	0.58	10	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000141027	NCOR1	0.57	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000106462	EZH2	0.56	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000169083	AR	0.55	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000110092	CCND1	0.54	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000117450	PRDX1	0.54	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000068024	HDAC4	0.54	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000111837	MAK	0.54	 5	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000178585	CTNNBIP1	0.53	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000148180	GSN	0.53	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000012817	KDM5D	0.52	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000084676	NCOA1	0.52	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000159388	BTG2	0.52	 4	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000163565	IFI16	0.52	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000115641	FHL2	0.51	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000132437	DDC	0.51	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000172977	KAT5	0.51	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000160973	FOXH1	0.51	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000013561	RNF14	0.50	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000253729	PRKDC	0.50	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000004478	FKBP4	0.50	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000124151	NCOA3	0.48	 3	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000164190	NIPBL	0.47	 2	"AR"	"A:unspecified role, B:unspecified role"
ENSG00000178028	DMAP1	0.47	 2	"AR"	"A:unspecified role, B:unspecified role"
